date,year,month,day_of_year,has_sunset_clouds,intensity,duration_minutes,coverage_percent,color_richness,temperature_c,humidity_percent,pressure_hpa,visibility_km,wind_speed_kmh,season_factor,enso_phase
2000-01-01,2000,1,1,False,0.0,0.0,0.0,0.0,16.685207096486447,63.10495905562463,1021.1890218468939,17.61616516880055,18.72246032743807,1.0,0.0
2000-01-02,2000,1,2,True,7.115064281720727,38.65927184749496,13.025441101551685,7.926682400485848,12.863088895994128,72.5402256375034,1003.7525181378654,14.32246910189927,11.407738897777651,1.0,0.0
2000-01-03,2000,1,3,True,10.0,75.01057218482559,57.40033133371809,10.0,20.375976793073015,73.7491065284309,1026.8176103894862,12.46365862853957,3.3069814713154586,1.0,0.0
2000-01-04,2000,1,4,False,0.0,0.0,0.0,0.0,20.271366678656747,62.955581562547465,1019.3442888262803,18.828491178852158,17.579683680293257,1.0,0.0
2000-01-05,2000,1,5,False,0.0,0.0,0.0,0.0,16.172362872446357,59.934773683620136,1028.9964697578482,15.78907151491738,8.204336539506603,1.0,0.0
2000-01-06,2000,1,6,False,0.0,0.0,0.0,0.0,21.168720085712472,63.697360987876145,1017.2419625497181,20.39185413502315,16.75312392274151,1.0,0.0
2000-01-07,2000,1,7,False,0.0,0.0,0.0,0.0,21.79393096744202,68.8108928798784,1017.3913591252525,10.824998165634389,19.028030053618117,1.0,0.0
2000-01-08,2000,1,8,False,0.0,0.0,0.0,0.0,18.17133771453524,65.68593337041663,1025.4371128377122,15.651354313153494,8.114270743184086,1.0,0.0
2000-01-09,2000,1,9,False,0.0,0.0,0.0,0.0,18.086253328979055,82.9748970683982,1019.7555329395483,15.26284581422169,15.695304045254542,1.0,0.0
2000-01-10,2000,1,10,False,0.0,0.0,0.0,0.0,12.709455155603646,50.758591619492236,1021.4551794388876,14.917934193678827,8.887306540708964,1.0,0.0
